Date,SPY,XLB,XLE,XLF,XLI,XLK,XLP,XLU,XLV,XLY
2012-06-14,112.64286041259766,28.697322845458984,48.53795623779297,7.545507907867432,29.242855072021484,24.490942001342773,27.443952560424805,27.495628356933594,32.14813995361328,38.260066986083984
2012-06-15,113.79489135742188,29.02939796447754,49.46591567993164,7.651151180267334,29.499372482299805,24.751813888549805,27.488792419433594,27.63181495666504,32.2691764831543,38.63557434082031
2012-06-18,114.01542663574219,29.180728912353516,49.02114486694336,7.608466625213623,29.56688117980957,24.935022354125977,27.560861587524414,27.736560821533203,32.486846923828125,38.91141128540039
2012-06-19,115.11827087402344,29.7355899810791,49.729759216308594,7.736516952514648,29.963472366333008,25.126970291137695,27.536834716796875,27.67669677734375,32.78291702270508,39.267337799072266
2012-06-20,114.931640625,29.567455291748047,49.533756256103516,7.752524375915527,29.803146362304688,25.170589447021484,27.392717361450195,27.407337188720703,32.695831298828125,39.22285461425781
2012-06-21,112.35271453857422,28.600643157958984,47.5059700012207,7.581788539886475,29.22092056274414,24.577316284179688,27.07242202758789,27.123023986816406,32.24304962158203,38.36863327026367
2012-06-22,113.21800994873047,28.75197410583496,47.82257843017578,7.651151180267334,29.322174072265625,24.847780227661133,27.152494430541992,27.1304931640625,32.582637786865234,38.537696838378906
2012-06-25,111.4026107788086,28.390478134155273,46.75214767456055,7.491083145141602,28.782146453857422,24.34175682067871,26.984346389770508,27.078125,32.182106018066406,37.9415283203125
2012-06-26,111.96248626708984,28.482954025268555,47.25720977783203,7.528434753417969,28.83277130126953,24.437721252441406,27.048398971557617,27.115530014038086,32.277889251708984,38.41312026977539
2012-06-27,112.9720230102539,28.794002532958984,48.237186431884766,7.619136333465576,29.111223220825195,24.58603858947754,27.20854377746582,27.422311782836914,32.62616729736328,38.35972595214844
2012-06-28,112.64962768554688,28.802406311035156,48.56886672973633,7.613800525665283,29.085912704467773,24.385379791259766,27.328655242919922,27.519569396972656,32.4781494140625,38.14617919921875
2012-06-29,115.45763397216797,29.6683292388916,50.031280517578125,7.811214447021484,30.09847640991211,25.065898895263672,27.841114044189453,27.67669677734375,33.09637451171875,38.955902099609375
2012-07-02,115.80545806884766,29.517017364501953,50.053897857666016,7.859235763549805,29.836889266967773,25.205488204956055,28.001258850097656,27.848798751831055,33.20085525512695,39.07158660888672
2012-07-03,116.56891632080078,29.93735122680664,51.25247573852539,7.901919841766357,30.14910316467285,25.406156539916992,28.129371643066406,27.781450271606445,33.192142486572266,39.03599548339844
2012-07-05,116.04298400878906,29.895334243774414,50.58157730102539,7.784537315368652,30.1153507232666,25.406156539916992,28.025278091430664,27.61684226989746,32.9831657409668,39.13386535644531
2012-07-06,114.94014739990234,29.550643920898438,49.97097396850586,7.7205119132995605,29.7103214263916,25.030994415283203,27.993261337280273,27.55698013305664,32.765480041503906,38.94701385498047
2012-07-09,114.7958984375,29.365686416625977,49.74483108520508,7.709840774536133,29.69344711303711,24.978647232055664,27.96121597290039,27.46719741821289,32.93962860107422,38.733463287353516
2012-07-10,113.79489135742188,28.92852020263672,48.96839904785156,7.651151180267334,29.212486267089844,24.6994571685791,27.993261337280273,27.51209259033203,32.78291702270508,38.502113342285156
2012-07-11,113.81185913085938,28.836030960083008,49.631744384765625,7.715177059173584,28.976221084594727,24.58603858947754,27.953210830688477,27.654251098632812,32.75678253173828,38.2796516418457
2012-07-12,113.26042175292969,28.69312286376953,49.46591567993164,7.635144233703613,28.866535186767578,24.34175682067871,27.97723960876465,27.691669464111328,32.83515167236328,38.190670013427734
2012-07-13,115.1606674194336,29.205949783325195,50.332801818847656,7.848565101623535,29.423425674438477,24.664560317993164,28.289518356323242,27.93857765197754,33.20085525512695,38.81352615356445
2012-07-16,114.88920593261719,29.096662521362305,50.4986572265625,7.832560062408447,29.22092056274414,24.638389587402344,28.14539337158203,27.923616409301758,33.26179885864258,38.56439208984375
2012-07-17,115.67813873291016,29.466569900512695,51.13187026977539,7.875242710113525,29.347488403320312,24.734363555908203,28.2655029296875,27.98347282409668,33.68845748901367,38.94701385498047
2012-07-18,116.5350112915039,29.64311408996582,51.57662582397461,7.837894916534424,29.895971298217773,25.161865234375,28.273509979248047,28.073257446289062,33.74070358276367,39.151676177978516
2012-07-19,116.84038543701172,29.962583541870117,51.73491287231445,7.789872646331787,30.03941535949707,25.379987716674805,28.233470916748047,28.12563705444336,33.74070358276367,39.40971755981445
2012-07-20,115.77149963378906,29.77762794494629,51.855525970458984,7.672491073608398,29.668142318725586,25.092069625854492,28.05730628967285,28.185495376586914,33.30533981323242,38.92920684814453
2012-07-23,114.60077667236328,29.30683135986328,51.35801696777344,7.608466625213623,29.516246795654297,24.847780227661133,27.817094802856445,27.998430252075195,32.91352462768555,38.35972595214844
2012-07-24,113.61676788330078,28.852853775024414,50.536338806152344,7.587125301361084,29.187166213989258,24.59476661682129,27.729013442993164,27.75152587890625,32.54780960083008,38.1016845703125
2012-07-25,113.64219665527344,28.852853775024414,50.57401657104492,7.613800525665283,29.288421630859375,24.498788833618164,27.73702049255371,27.736560821533203,32.70454025268555,38.021602630615234
2012-07-26,115.5169906616211,28.98737335205078,52.013832092285156,7.73118257522583,29.735637664794922,24.87394905090332,28.193431854248047,28.170530319213867,33.01799392700195,38.63557434082031
